mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-11-15 05:08:42.276709888,-74.9,-109.32,1339.0,198.0,-1292.0,204.4,353.0,76.7,11,S,1B,3031
2020-01-14 05:09:19.330219008,-74.9,-109.32,1368.0,92.0,-1212.0,96.9,635.0,68.6,11,S,1A,3031
2021-01-29 10:00:24.634224896,-74.9,-109.32,1524.0,181.0,-1414.0,174.8,568.0,213.0,5,S,1A,3031
2020-09-23 04:36:22.988602112,-74.9,-109.32,1307.0,51.0,-1213.0,43.7,487.0,84.4,5,S,1A,3031
2018-11-23 10:00:14.703601920,-74.9,-109.32,1617.0,158.0,-1522.0,151.4,548.0,201.1,6,S,1B,3031
2022-01-14 15:24:40.075109120,-74.9,-109.32,1328.0,15.0,-1246.0,14.7,461.0,17.5,60,S,2B,3031
2021-11-29 04:36:28.260444160,-74.9,-109.32,1325.0,126.0,-1243.0,114.4,460.0,190.8,5,S,1A,3031
2018-02-05 05:09:05.753547008,-74.9,-109.32,1417.0,99.0,-1349.0,102.0,433.0,65.1,11,S,1A,3031
2018-04-09 10:00:06.094230016,-74.9,-109.32,1630.0,137.0,-1539.0,133.7,537.0,164.4,6,S,1B,3031
2022-01-03 15:35:22.154312960,-74.9,-109.32,1367.0,102.0,-1283.0,103.8,471.0,89.9,7,L,9.0,3031
2017-12-20 04:36:02.616517120,-74.9,-109.32,1379.0,62.0,-1328.0,56.8,372.0,106.5,5,S,1A,3031
2019-05-20 04:36:09.696675328,-74.9,-109.32,1271.0,47.0,-1190.0,43.5,447.0,68.7,5,S,1A,3031
2019-02-13 04:36:07.360851968,-74.9,-109.32,1161.0,67.0,-1119.0,61.8,309.0,113.1,5,S,1A,3031
2019-02-06 05:08:26.856347904,-74.9,-109.32,1353.0,92.0,-1282.0,94.7,434.0,66.7,11,S,1B,3031
2017-09-21 04:36:03.489193984,-74.9,-109.32,1353.0,62.0,-1322.0,60.4,287.0,84.6,6,S,1B,3031
2021-12-11 15:44:36.575109120,-74.9,-109.32,1454.0,24.0,-1359.0,24.4,518.0,24.7,19,S,2B,3031
2018-12-21 04:36:09.210648064,-74.9,-109.32,1313.0,65.0,-1260.0,62.3,367.0,89.7,6,S,1B,3031
2021-01-15 04:36:20.543214080,-74.9,-109.32,1325.0,103.0,-1159.0,98.9,642.0,114.0,6,S,1B,3031
2021-02-02 04:36:19.928032000,-74.9,-109.32,1350.0,54.0,-1235.0,42.0,545.0,94.2,5,S,1A,3031
2020-12-04 04:36:22.448339968,-74.9,-109.32,1341.0,94.0,-1237.0,89.5,518.0,117.8,5,S,1A,3031
2017-12-02 04:36:03.223491072,-74.9,-109.32,1357.0,127.0,-1225.0,109.1,585.0,186.6,6,S,1B,3031
2018-12-11 10:00:14.042221056,-74.9,-109.32,1435.0,157.0,-1360.0,150.4,458.0,209.6,5,S,1A,3031
2018-12-14 05:09:14.121218048,-74.9,-109.32,1391.0,73.0,-1346.0,73.1,354.0,69.6,11,S,1A,3031
2019-01-08 04:36:08.489827840,-74.9,-109.32,1334.0,83.0,-1305.0,78.6,277.0,145.3,5,S,1A,3031
2021-10-14 10:00:33.699436032,-74.9,-109.32,1245.0,120.0,-1199.0,114.1,336.0,176.9,6,S,1B,3031
2021-10-20 05:09:11.179462912,-74.9,-109.32,1334.0,74.0,-1247.0,73.9,476.0,76.0,5,S,1A,3031
2018-11-05 10:00:15.099438336,-74.9,-109.32,1379.0,175.0,-1304.0,163.8,448.0,248.4,5,S,1A,3031
2017-12-13 05:08:21.918598912,-74.9,-109.32,1432.0,136.0,-1375.0,140.2,401.0,79.3,11,S,1B,3031
2021-07-14 04:36:25.214003968,-74.9,-109.32,1276.0,89.0,-1172.0,80.3,505.0,123.9,6,S,1B,3031
2020-08-08 10:00:25.455266304,-74.9,-109.32,1446.0,209.0,-1355.0,198.3,507.0,270.6,6,S,1B,3031
2018-02-24 04:36:00.684378624,-74.9,-109.32,1318.0,55.0,-1279.0,51.8,317.0,89.4,6,S,1B,3031
2021-05-17 05:09:03.726803968,-74.9,-109.32,1365.0,124.0,-1300.0,125.5,418.0,103.1,5,S,1A,3031
2021-02-20 04:36:19.433425920,-74.9,-109.32,1285.0,61.0,-1197.0,53.8,469.0,96.6,6,S,1B,3031
2018-04-13 04:36:01.621262080,-74.9,-109.32,1382.0,65.0,-1263.0,59.3,561.0,89.0,6,S,1B,3031
2016-12-04 04:36:38.173391104,-74.9,-109.32,1542.0,295.0,-1530.0,297.3,196.0,133.9,11,S,1A,3031
2019-04-28 10:00:13.321470976,-74.9,-109.32,1212.0,147.0,-1138.0,141.1,417.0,182.8,6,S,1B,3031
2019-02-12 05:09:11.987835904,-74.9,-109.32,1315.0,63.0,-1262.0,63.6,370.0,58.4,12,S,1A,3031
2021-12-22 15:35:23.708331008,-74.9,-109.32,1192.0,62.0,-1112.0,62.3,428.0,63.5,15,L,9.0,3031
2018-02-25 15:43:07.075108864,-74.9,-109.32,1397.0,39.0,-1333.0,38.9,418.0,35.2,9,S,2B,3031
2021-08-07 04:36:26.620835072,-74.9,-109.32,1272.0,64.0,-1153.0,56.4,539.0,90.9,6,S,1B,3031
2020-08-12 04:36:21.119045120,-74.9,-109.32,1253.0,84.0,-1161.0,73.8,472.0,129.1,6,S,1B,3031
2018-05-25 04:36:03.662106880,-74.9,-109.32,1341.0,69.0,-1158.0,55.4,676.0,99.4,5,S,1A,3031
2020-05-14 04:36:15.719949056,-74.9,-109.32,1164.0,59.0,-1074.0,48.7,449.0,100.6,5,S,1A,3031
2021-12-22 15:14:44.075109120,-74.9,-109.32,1355.0,25.0,-1272.0,24.7,466.0,24.7,40,S,2B,3031
2020-08-14 10:00:25.759983104,-74.9,-109.32,1279.0,186.0,-1189.0,176.0,470.0,241.8,5,S,1A,3031
